id,title,steamAppId,steamUrl,opencriticScore,hltbMain,hltbExtra,hltbCompletionist,releaseDate,genres,platforms,studio,steamReviewScore,steamReviewCount,steamReviewPercent,isDlc
100855,God of War III Remastered,,,80,,,,2015-07-14T00:00:00.000Z,"[""Action"", ""Adventure""]","[{""name"": ""PlayStation 4""}, {""name"": ""PlayStation 5""}]","Wholesale Algorithms, SCEA",,,,False
100856,Godzilla,,,39,,,,2015-07-14T00:00:00.000Z,"[""Action""]","[{""name"": ""PlayStation 4""}, {""name"": ""PlayStation 5""}]","Bandai Namco Games, Natsume",,,,False
100857,Guild of Dungeoneering,,,75,694.0,1186.0,1845.0,2015-07-14T00:00:00.000Z,"[""Strategy"", ""RPG""]","[{""name"": ""PC""}]","Versus Evil, Gambrinous",,,,False
100858,Prototype Biohazard Bundle,,,50,,,,2015-07-14T00:00:00.000Z,"[""Action""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]",Activision,,,,False
100859,Rory McIlroy PGA Tour,,,62,600.0,3634.0,,2015-07-14T00:00:00.000Z,"[""Sports"", ""Simulation""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]","EA Sports, EA Tiburon",,,,False
100860,Marvel's Ant-Man Pinball,,,80,,,,2015-07-15T00:00:00.000Z,"[""Simulation""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""PC""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]",Zen Studios,,,,False
100861,Odallus: The Dark Call,319480,https://store.steampowered.com/app/319480/,74,376.0,475.0,532.0,2015-07-15T00:00:00.000Z,"[""Metroidvania"", ""Action"", ""Dark"", ""Platformer"", ""Gore"", ""Retro"", ""2D"", ""Side Scroller"", ""Difficult"", ""Adventure"", ""Fantasy"", ""Indie"", ""Dark Fantasy"", ""Singleplayer"", ""Action-Adventure"", ""Exploration"", ""Demons"", ""Pixel Graphics""]","[{""name"": ""PC""}, {""name"": ""Nintendo Switch""}, {""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]",JoyMasher,Very Positive,832.0,90.0,False
100862,Tachyon Project,385860,https://store.steampowered.com/app/385860/,65,120.0,277.0,238.0,2015-07-15T00:00:00.000Z,"[""Action"", ""Shoot 'Em Up"", ""Shooter"", ""Twin Stick Shooter"", ""Indie"", ""Arcade""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""PC""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]",Eclipse Games,Positive,25.0,80.0,False
100863,Trials Fusion - Awesome Level Max,381840,https://store.steampowered.com/app/381840/,72,90.0,,,2015-07-15T00:00:00.000Z,"[""Racing""]","[{""name"": ""PlayStation 4""}, {""name"": ""Xbox One""}, {""name"": ""PC""}, {""name"": ""Xbox Series X/S""}, {""name"": ""PlayStation 5""}]","RedLynx,  in collaboration with  Ubisoft Shanghai,  Ubisoft Kiev",Mostly Positive,19.0,73.0,True
100864,Legions of Steel,312440,https://store.steampowered.com/app/312440/,61,,,,2015-07-16T00:00:00.000Z,"[""Multiplayer"", ""Turn-Based Tactics"", ""Turn-Based"", ""Wargame"", ""Turn-Based Strategy"", ""War"", ""Sci-fi"", ""2D"", ""Singleplayer"", ""Strategy"", ""Tactical""]","[{""name"": ""PC""}]",Studio Nyx,Mixed,25.0,52.0,False
100865,MechaNika,384680,https://store.steampowered.com/app/384680/,62,148.0,165.0,213.0,2015-07-16T00:00:00.000Z,"[""Dark"", ""Hand-drawn"", ""Nudity"", ""Point & Click"", ""2D"", ""Adventure"", ""Mechs"", ""Indie"", ""Puzzle"", ""Female Protagonist""]","[{""name"": ""PC""}, {""name"": ""Nintendo Switch""}]",Mango Protocol,Very Positive,680.0,90.0,False
100866,Sorcerer King,241990,https://store.steampowered.com/app/241990/,82,1039.0,1300.0,,2015-07-16T00:00:00.000Z,"[""Strategy"", ""Turn-Based Strategy""]","[{""name"": ""PC""}]",Stardock Entertainment,,,,False
