ID,OpenCriticTitle,SteamTitle,SteamURL,SteamReviewsRating,SteamReviewsNum,SteamReviewsPercent,SteamReleaseDate,SteamDeveloper(s),SteamPublisher(s),SteamTags,SteamDLC,SteamDelisted
107120,Potionomics,Potionomics,https://store.steampowered.com/app/1874490/,Very Positive*,4848,90,17/10/2022,Voracious Games,"XSEED Games, Marvelous USA,  Inc.","RPG, Simulation, Strategy, Card Game, Management, Dating Sim, Life Sim, Time Management, Anime, Capitalism, Fantasy, LGBTQ+, Romance, Crafting, Deckbuilding, Resource Management, Female Protagonist, Singleplayer, Indie",FALSE,FALSE
107121,Terror of Hemasaurus,Terror of Hemasaurus,https://store.steampowered.com/app/1016180/,Very Positive,706,92,17/10/2022,Loren Lemcke,Loren Lemcke,"Action, Adventure, Arcade, Beat 'em up, Side Scroller, 2D, Colorful, Dark, Destruction, Dinosaurs, Sci-fi, Physics, Villain Protagonist, 4 Player Local, Co-op, Local Multiplayer, Multiplayer, Singleplayer, Comedy, Dark Comedy, Blood",FALSE,FALSE
107122,A Plague Tale: Requiem,A Plague Tale: Requiem,https://store.steampowered.com/app/1182900/,Very Positive*,6484,91,17/10/2022,Asobo Studio,Focus Entertainment,"Action, Adventure, Action-Adventure, Exploration, Interactive Fiction, 3D, Cinematic, Realistic, Third Person, Alternate History, Atmospheric, Dark, Historical, Medieval, Mystery, Narration, Female Protagonist, Singleplayer, Drama, Emotional",FALSE,FALSE
107123,Ghostbusters: Spirits Unleashed,Ghostbusters: Spirits Unleashed Ecto Edition,https://store.steampowered.com/app/2383990/,Very Positive,992,90,19/10/2023,IllFonic,IllFonic Publishing,"Action, Adventure, Action-Adventure, FPS, Horror, First-Person, 1980s, Family Friendly, Supernatural, Character Customization, PvP, Team-Based, Multiplayer, Online Co-Op, Singleplayer, Epic",FALSE,FALSE
107124,Lucy Dreaming,Lucy Dreaming,https://store.steampowered.com/app/1532710/,Very Positive,240,99,18/10/2022,Tall Story Games Ltd,Tall Story Games Ltd,"Adventure, Puzzle, Exploration, Point & Click, 2D, Pixel Graphics, 1980s, 1990's, Atmospheric, Dark, Mystery, Old School, Retro, Linear, Story Rich, Female Protagonist, Singleplayer, Funny, Comedy",FALSE,FALSE
107125,Marvel Snap,MARVEL SNAP,https://store.steampowered.com/app/1997040/,Mixed*,19096,67,22/8/2023,"Second Dinner Studios,  Inc.",,"Casual, Strategy, Card Game, Card Battler, Trading, Trading Card Game, Turn-Based Tactics, Comic Book, Stylized, Superhero, Deckbuilding, PvP, Co-op, Multiplayer, Turn-Based, Mouse only, Early Access, Free to Play",FALSE,FALSE
107126,The Last Hero of Nostalgaia,The Last Hero of Nostalgaia,https://store.steampowered.com/app/1766100/,Mostly Positive,1699,79,19/10/2022,Over The Moon,Coatsink,"Action, Adventure, RPG, Action RPG, Action-Adventure, Souls-like, 3D, Pixel Graphics, Third Person, Dark, Dark Fantasy, Fantasy, Character Customization, Co-op, Multiplayer, Online Co-Op, Singleplayer, Difficult, Comedy, Violent",FALSE,FALSE
107127,The Valiant,The Valiant,https://store.steampowered.com/app/959860/,Mixed,196,60,19/10/2022,KITE Games,THQ Nordic,"Action, RPG, Strategy, RTS, 3D, Isometric, Loot, Medieval, Combat, PvE, PvP, Story Rich, Multiplayer, Online Co-Op, Singleplayer, Competitive",FALSE,FALSE
107128,Batora: Lost Haven,Batora: Lost Haven,https://store.steampowered.com/app/1506440/,Mostly Positive,192,75,20/10/2022,Stormind Games,Team17,"Action, Adventure, Puzzle, RPG, Action RPG, Action-Adventure, Shooter, Hack and Slash, Twin Stick Shooter, Cinematic, Colorful, Isometric, Atmospheric, Choices Matter, Multiple Endings, Story Rich, Female Protagonist, Singleplayer, Indie, Lore-Rich, Replay Value",FALSE,FALSE
107129,Hell is Others,Hell is Others,https://store.steampowered.com/app/964440/,Mostly Positive,982,73,20/10/2022,"Strelka Games, Yonder",A List Games,"Action, Adventure, RPG, Roguelike, Shooter, Survival, Horror, Roguelite, Top-Down Shooter, Twin Stick Shooter, 2D, Noir, Pixel Graphics, Top-Down, Atmospheric, PvE, PvP, Multiplayer, Singleplayer",FALSE,FALSE
107131,The Jackbox Party Pack 9,The Jackbox Party Pack 9,https://store.steampowered.com/app/1850960/,Very Positive,558,84,19/10/2022,"Jackbox Games,  Inc.","Jackbox Games,  Inc.","Casual, Strategy, Board Game, Trivia, Word Game, 2D, Cartoon, Colorful, Family Friendly, PvP, Team-Based, Co-op, Local Co-Op, Local Multiplayer, Multiplayer, Indie, Funny, Comedy",FALSE,FALSE
107133,"Warhammer 40,000: Shootas, Blood, & Teef","Warhammer 40,000: Shootas, Blood & Teef",https://store.steampowered.com/app/1324530/,Very Positive*,1292,88,20/10/2022,Rogueside,Rogueside,"Action, Adventure, Action-Adventure, Arcade, Platformer, Shooter, 2D Platformer, Beat 'em up, Bullet Hell, Shoot 'Em Up, Side Scroller, Twin Stick Shooter, 2D, Cartoon, Cartoony, Hand-drawn, War, PvP, Co-op, Local Co-Op, Warhammer 40K, Funny",FALSE,FALSE
107134,Gotham Knights,Gotham Knights,https://store.steampowered.com/app/1496790/,Mostly Positive*,10766,70,21/10/2022,"Warner Bros. Games Montréal, QLOC",Warner Bros. Games,"Action, Adventure, RPG, Action RPG, Action-Adventure, Open World, Stealth, Comic Book, Third Person, Atmospheric, Crime, Dark, Superhero, Character Customization, Combat, Story Rich, Co-op, Multiplayer, Online Co-Op, Singleplayer",FALSE,FALSE
107135,New Tales from the Borderlands,New Tales from the Borderlands,https://store.steampowered.com/app/1454970/,Mostly Negative,1489,31,20/10/2022,Gearbox Software,2K,"Action, Adventure, Action-Adventure, Interactive Fiction, Visual Novel, Choose Your Own Adventure, Cinematic, Capitalism, Space, Character Customization, Choices Matter, Multiple Endings, Quick-Time Events, Singleplayer, Episodic, Blood, Gore, Mature, Nudity, Violent",FALSE,FALSE
107136,Mount & Blade II: Bannerlord,Mount & Blade II: Bannerlord,https://store.steampowered.com/app/261550/,Very Positive*,91326,87,25/10/2022,TaleWorlds Entertainment,TaleWorlds Entertainment,"Action, Adventure, RPG, Simulation, Strategy, Open World, Sandbox, First-Person, Realistic, Third Person, Historical, Horses, Medieval, War, Character Customization, Moddable, Multiplayer, Singleplayer, Mod, Soundtrack, Great Soundtrack, Early Access",FALSE,FALSE
107137,Victoria 3,Victoria 3,https://store.steampowered.com/app/529340/,Mixed*,18669,69,25/10/2022,Paradox Development Studio,Paradox Interactive,"Simulation, Strategy, Diplomacy, Management, Sandbox, Grand Strategy, Political Sim, Alternate History, Capitalism, Economy, Historical, Military, Political, Politics, Moddable, Resource Management, Multiplayer, Singleplayer, Mod, Real-Time, Real-Time with Pause, Replay Value",FALSE,FALSE
107138,Yomawari: Lost in the Dark,Yomawari: Lost in the Dark,https://store.steampowered.com/app/1998330/,Very Positive,273,87,25/10/2022,"Nippon Ichi Software,  Inc.","NIS America,  Inc.","Adventure, RPG, Strategy, Exploration, Open World, Survival, Horror, JRPG, Survival Horror, 2D, Anime, Cute, Atmospheric, Retro, Story Rich, Female Protagonist, Singleplayer, Difficult, Funny, Psychological",FALSE,FALSE
